,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
T1,35,87,91,90,76,88,9,40,55,75
T2,60,9,72,54,35,33,56,6,78,26
T3,60,91,23,18,24,62,81,91,36,90
T4,33,21,44,100,100,71,60,94,27,20
T5,94,56,53,72,16,68,54,82,75,75
T6,16,10,49,83,6,78,58,14,29,28
T7,45,68,79,11,75,32,38,82,87,64
T8,25,32,49,72,20,80,14,50,24,82
T9,87,19,21,54,87,50,2,30,71,80
T10,31,31,57,47,61,97,73,7,49,14
T11,93,58,22,24,78,88,25,87,57,95
T12,19,6,4,86,82,77,52,22,64,4
T13,97,2,72,68,87,70,67,47,24,12
T14,90,77,88,39,19,68,65,62,60,28
T15,60,19,94,95,3,36,41,32,90,6
T16,43,41,29,85,95,24,42,10,83,99
T17,54,85,31,3,64,74,78,33,65,9
T18,38,16,53,56,68,59,88,32,13,14
T19,84,58,25,97,44,31,64,21,88,94
T20,68,13,68,87,53,47,27,27,88,26
T21,52,100,5,23,47,62,74,96,8,71
T22,78,14,73,17,54,56,71,63,74,20
T23,71,70,27,30,19,11,65,46,9,24
T24,98,4,46,33,88,15,29,65,10,20
T25,48,49,59,69,40,62,95,86,37,18
T26,27,12,32,92,53,72,44,13,25,8
T27,64,81,8,95,53,53,95,86,67,85
T28,42,79,15,39,75,46,17,49,64,20
T29,74,93,30,78,39,85,69,17,35,51
T30,84,35,87,75,44,43,96,88,50,39
T31,89,88,91,59,82,47,78,13,97,25
T32,64,75,93,90,71,60,45,18,46,65
T33,8,30,83,41,69,24,55,1,69,86
T34,95,72,29,84,59,23,60,20,1,36
T35,17,53,47,50,48,80,33,74,10,68
T36,74,56,54,85,37,17,65,49,94,95
T37,94,17,55,91,49,52,99,38,7,14
T38,58,13,35,65,46,21,44,96,88,47
T39,54,70,66,36,42,2,14,32,94,24
T40,70,72,51,35,40,52,43,93,21,28
T41,1,99,94,10,57,68,9,49,46,24
T42,74,71,21,79,12,46,32,100,98,57
T43,78,73,47,88,82,68,6,20,48,87
T44,5,84,56,52,75,88,82,62,26,80
T45,50,19,24,71,88,35,87,21,9,4
T46,69,91,100,20,96,79,3,19,22,28
T47,2,72,73,71,59,56,94,27,90,71
T48,10,92,50,92,64,42,84,12,69,37
T49,35,29,18,47,95,73,89,37,55,42
T50,2,79,5,68,19,92,75,96,14,46
T51,79,81,47,52,86,20,56,85,15,9
T52,72,55,6,9,8,15,10,73,95,80
T53,54,74,88,90,11,60,16,37,93,21
T54,24,45,42,37,61,12,70,31,9,28
T55,84,42,79,86,37,70,46,100,6,47
T56,45,77,44,36,85,75,62,41,76,65
T57,54,4,89,60,91,70,79,67,31,43
T58,1,84,95,11,60,14,58,65,26,54
T59,7,78,35,68,70,24,30,51,94,86
T60,23,23,92,25,38,96,42,49,90,21
T61,15,29,89,19,83,83,76,2,82,23
T62,33,39,69,92,9,12,78,63,64,52
T63,19,72,2,11,4,61,55,85,79,53
T64,17,52,71,42,54,35,100,100,30,29
T65,12,1,67,97,9,34,86,46,39,31
T66,57,55,84,6,65,92,83,43,80,32
T67,23,30,6,81,60,33,12,37,61,24
T68,4,32,15,28,52,8,50,49,91,26
T69,15,64,96,93,9,45,58,26,36,75
T70,42,72,30,12,11,83,96,60,22,96
T71,83,60,87,14,78,37,28,1,69,54
T72,65,26,91,12,26,74,8,58,93,41
T73,12,56,2,39,40,35,88,60,17,91
T74,88,19,4,9,57,37,25,28,56,62
T75,6,93,89,43,46,26,50,85,21,15
T76,98,37,27,6,74,85,94,40,14,4
T77,85,10,28,28,67,19,17,38,11,62
T78,3,43,82,4,12,58,43,85,9,50
T79,76,37,56,83,72,95,56,17,61,69
T80,14,69,66,78,69,60,28,94,22,11
T81,43,48,56,33,78,13,11,38,86,89
T82,27,60,68,91,18,95,85,95,37,2
T83,73,44,57,87,73,2,90,67,37,12
T84,25,95,20,57,67,70,19,35,53,51
T85,62,2,63,5,54,87,29,63,41,62
T86,12,4,10,98,17,5,24,49,80,21
T87,60,8,16,6,1,51,70,80,7,2
T88,19,54,23,17,41,34,99,71,47,52
T89,27,72,23,90,25,56,43,13,99,46
T90,91,24,40,56,24,54,3,24,39,81
T91,6,58,40,27,10,84,90,2,83,67
T92,9,21,41,44,82,62,84,35,12,31
T93,66,90,83,10,38,91,92,59,10,76
T94,17,84,19,91,55,92,14,27,65,91
T95,42,12,94,16,90,11,10,62,58,100
T96,33,41,8,94,22,82,72,61,65,82
T97,40,84,91,82,28,83,1,66,12,15
T98,66,63,11,48,94,9,100,26,84,34
T99,7,59,53,76,91,59,100,71,57,63
T100,22,22,28,94,62,10,13,10,66,77
